Cï¿½ï¿½;Vencimento;Taxa de juros;Variaï¿½ï¿;Data/Hora do ï¿½ï¿½lt. negï;Volume negociado;Estimativa para CDI;Decisï¿½ï¿½o C
DI1Z22;01/12/2022;13.654;-0.004;04/11/2022 05:47;2.406.297.466,51;13.65;
DI1F23;01/01/2023;13.666;-0.002;04/11/2022 05:47;8.792.329.599,40;;
DI1G23;01/02/2023;13.688;-0.006;04/11/2022 05:13;975.703.419,20;;
DI1H23;01/03/2023;13.7;-0.01;04/11/2022 05:29;500.056.831,50;;
DI1J23;01/04/2023;13.705;0;04/11/2022 05:47;16.596.845.939,58;;
DI1K23;01/05/2023;13.715;0.015;04/11/2022 05:46;372.643.596,00;;
DI1M23;01/06/2023;13.675;-0.015;04/11/2022 05:46;342.477.739,25;;
DI1N23;01/07/2023;13.635;0;04/11/2022 05:45;27.475.641.929,97;;
DI1Q23;01/08/2023;13.535;0;04/11/2022 05:45;144.780.308,00;;
DI1U23;01/09/2023;13.435;-0.03;04/11/2022 05:45;581.860.532,55;;
DI1V23;01/10/2023;13.345;-0.005;04/11/2022 05:45;2.331.503.664,93;;
DI1X23;01/11/2023;13.165;-0.07;04/11/2022 05:13;670.909.320,33;;
DI1F24;01/01/2024;12.985;0.01;04/11/2022 05:49;40.020.306.073,93;;
DI1J24;01/04/2024;12.63;0.005;04/11/2022 05:44;966.039.160,02;;
DI1N24;01/07/2024;12.27;0;04/11/2022 05:44;8.506.343.535,30;;
DI1V24;01/10/2024;11.985;-0.005;04/11/2022 05:44;7.062.472.588,85;;
DI1F25;01/01/2025;11.78;0.01;04/11/2022 05:49;34.893.296.278,13;;
DI1J25;01/04/2025;11.68;0.005;04/11/2022 05:40;331.505.571,75;;
DI1N25;01/07/2025;11.625;0.02;04/11/2022 05:48;2.182.053.255,24;;
DI1V25;01/10/2025;11.576;-0.019;04/11/2022 05:13;27.973.022,30;;
DI1F26;01/01/2026;11.575;0.01;04/11/2022 05:48;17.960.612.197,17;;
DI1J26;01/04/2026;11.55;-0.005;04/11/2022 05:44;16.538.469,03;;
DI1N26;01/07/2026;11.55;-0.005;04/11/2022 05:46;282.219.102,35;;
DI1V26;01/10/2026;11.501;-0.054;04/11/2022 05:13;7.828.959,47;;
DI1F27;01/01/2027;11.53;0.005;04/11/2022 05:49;12.896.986.272,48;;
DI1J27;01/04/2027;11.475;-0.07;04/11/2022 05:13;4.944.333,30;;
DI1N27;01/07/2027;11.47;-0.075;04/11/2022 05:13;6.329.484,00;;
DI1V27;01/10/2027;11.476;-0.079;04/11/2022 05:13;6.142.178,40;;
DI1F28;01/01/2028;11.55;0;04/11/2022 05:47;267.298.145,10;;
DI1F29;01/01/2029;11.63;0.01;04/11/2022 05:48;2.574.896.278,20;;
DI1F30;01/01/2030;11.63;-0.04;04/11/2022 05:28;21.824.411,80;;
DI1F31;01/01/2031;11.69;0;04/11/2022 05:48;1.444.083.303,60;;
DI1F32;01/01/2032;11.65;-0.03;04/11/2022 05:28;18.873.003,55;;
DI1F33;01/01/2033;11.69;-0.03;04/11/2022 05:39;204.593.840,40;;
DI1F34;01/01/2034;11.668;-0.07;04/11/2022 05:13;;;
DI1F35;01/01/2035;11.64;-0.07;04/11/2022 05:13;;;
DI1F36;01/01/2036;11.646;-0.07;04/11/2022 05:13;7.863,75;;
DI1F37;01/01/2037;11.646;-0.07;04/11/2022 05:13;;;
